Postcode-4;Totaal;Man;Vrouw;tot 15 jaar;15 tot 25 jaar;25 tot 45 jaar;45 tot 65 jaar;65 jaar en ouder;"Nederlandse achtergond";"Westerse migratie achtergrond";"Niet-westerse migratie achtergrond"
5628;10330;4920;5410;1660;1260;2375;2675;2360;60;10;20
5629;9385;4715;4670;1605;1450;1855;3380;1095;70;10;20
5631;5730;2840;2890;720;600;1360;1475;1580;70;10;10
5632;13165;6490;6675;2060;1575;3220;3440;2870;60;10;30
5633;140;70;70;20;20;20;50;25;90;10;-99997
5641;7840;4055;3790;1120;1100;2085;2030;1510;60;10;20
5642;7835;4035;3800;1315;1000;2665;1740;1115;60;10;30
5643;8020;4040;3980;1395;1000;2765;1870;985;60;10;20
5644;8865;4465;4400;1375;1295;2290;2325;1575;80;10;10
5645;3860;1945;1915;630;425;1060;1100;645;70;10;20
5646;2390;1170;1215;370;250;475;785;505;80;10;10
5647;55;25;30;-99997;10;5;20;20;100;-99997;-99997
5651;3430;1720;1710;695;305;1285;800;345;60;20;20
5652;7160;3695;3460;1065;940;2340;1720;1095;60;20;20
5653;6940;3615;3320;925;795;2225;1705;1295;60;20;20
5654;10370;5425;4950;1350;1380;3510;2330;1800;50;20;30
5655;4225;2065;2160;675;530;845;1190;985;60;10;20
5656;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
5657;215;120;95;35;35;50;70;25;80;10;10
5658;11990;6135;5855;2915;1050;4095;2815;1115;60;10;30
5661;1255;630;630;200;230;240;475;110;80;10;10
5662;3190;1635;1555;580;380;720;1025;485;90;10;0
5663;6065;3010;3050;875;810;1140;2070;1170;90;10;0
5664;4760;2340;2420;535;390;1120;1220;1495;80;10;10
5665;5445;2570;2875;820;550;1330;1335;1410;70;10;20
5666;3875;1935;1940;610;405;975;1050;835;70;10;20
5667;4260;2190;2070;680;505;1125;1155;790;80;10;10
5671;5440;2575;2865;750;450;980;1395;1870;90;10;0
5672;6985;3465;3520;1070;675;1295;1885;2065;90;10;0
5673;6210;3080;3130;990;795;1195;2075;1155;90;10;10
5674;4745;2430;2315;725;535;1000;1520;970;90;10;0
5681;875;460;415;125;115;165;285;180;90;10;0
5682;4085;2065;2025;635;480;1045;1230;700;90;10;0
5683;6400;3175;3225;810;610;1385;1725;1870;80;10;10
5684;11325;5645;5680;1755;1380;2825;3300;2070;80;10;10
5685;7300;3690;3615;1255;1190;1175;2730;950;90;10;0
5688;12250;6135;6115;1710;1500;2400;3850;2790;90;10;0
5689;550;260;285;155;50;200;120;25;90;10;10
5691;10940;5370;5570;1575;1300;1850;3310;2910;90;10;0
5692;1600;800;800;455;115;720;270;30;80;10;10
5694;4785;2365;2420;885;500;1170;1285;950;90;10;0
5701;15240;7715;7525;2340;1700;4530;3895;2770;50;20;30
5702;11770;5805;5960;1880;1445;2695;3180;2565;70;10;20
5703;5555;2815;2740;850;655;1525;1475;1050;60;20;20
5704;8990;4560;4430;1495;1145;2280;2940;1130;80;10;10
5705;1885;1015;870;215;225;600;520;325;70;20;20
5706;14870;7515;7355;2790;1880;3440;4450;2310;80;10;10
5707;10350;5215;5135;1590;1150;2445;2975;2190;70;10;10
5708;10590;5265;5325;1860;1215;2330;3105;2080;90;10;10
5709;13175;6780;6395;2115;1815;3180;4430;1630;70;20;10
5711;8480;4225;4255;1280;915;2040;2280;1960;90;10;0
5712;8640;4455;4180;1185;1085;1940;2890;1540;90;10;0
5715;2250;1185;1065;320;300;465;745;420;90;10;0
5721;13155;6705;6450;1955;1510;2760;3800;3135;90;10;0
5722;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997;-99997
5724;1115;610;500;165;145;270;365;170;90;10;0
5725;2450;1270;1180;360;350;535;735;470;90;10;0
5731;10880;5415;5470;1755;1170;2360;3145;2455;90;10;0
5735;5720;2875;2845;815;645;1110;1765;1385;90;10;0
5737;4275;2185;2090;590;520;815;1335;1015;90;10;0
5738;2035;1030;1005;335;275;395;615;420;100;0;0
5741;10490;5325;5165;1660;1135;2535;2955;2205;90;10;0
5751;12535;6210;6325;1695;1345;2665;3345;3485;90;10;10
5752;1885;965;920;345;220;375;545;400;90;0;0
5753;4260;2140;2120;725;485;1000;1210;835;90;0;0
5754;6270;3165;3105;980;875;1380;2185;850;90;10;0
5756;1430;740;690;245;195;305;455;230;90;0;0
5757;3315;1695;1620;490;400;690;1030;710;90;0;0
5758;1865;975;890;290;215;420;585;355;90;0;0
5759;910;475;440;140;100;195;300;180;90;10;0
5761;5970;3065;2900;880;620;1520;1715;1235;90;10;0
5763;2215;1155;1060;355;280;510;650;420;90;0;0
5764;1155;610;545;175;140;260;385;195;90;10;0
5766;545;275;275;90;55;110;180;110;90;0;0
5768;6160;3160;3000;860;670;1280;1925;1425;90;10;0
5801;10240;5055;5185;1010;980;2050;2750;3450;80;10;10
5802;7375;3690;3685;1250;960;1775;2030;1360;60;20;20
5803;8005;4050;3955;1265;1060;1885;2740;1055;80;10;10
5804;3040;1520;1520;630;325;825;855;410;90;10;10
5807;2410;1380;1035;325;250;630;670;540;80;10;10
5808;1185;610;570;150;180;245;420;190;90;10;0
5809;2285;1180;1110;385;280;475;720;430;90;10;0
5811;815;435;380;125;105;170;255;160;90;10;0
5812;480;250;230;60;50;95;160;115;90;0;0
5813;2245;1170;1075;315;340;485;665;435;90;10;0
5814;560;305;255;85;115;105;180;70;90;10;-99997
5815;1070;555;515;165;125;195;350;235;90;10;0
5816;235;120;120;55;30;55;65;35;90;10;-99997
5817;215;110;105;25;25;35;70;60;90;10;-99997
5821;2560;1270;1285;410;300;530;785;535;90;10;0
5823;880;450;430;120;95;170;285;210;90;10;0
5824;545;280;270;100;65;115;190;80;90;10;0
5825;3990;2090;1895;515;510;795;1240;930;90;10;10
5826;485;255;230;95;65;105;155;65;100;0;-99997
5827;710;380;330;105;120;130;255;100;90;0;0
5831;12560;6115;6445;1605;1450;2580;3620;3305;80;10;10
5835;1885;960;920;275;235;375;620;370;90;10;0
5836;1740;875;865;220;230;325;605;355;90;10;0
5841;1870;995;880;280;230;395;620;340;90;0;0
5843;670;350;320;155;60;150;190;115;90;10;0
5844;725;380;345;100;120;145;245;120;90;10;0
5845;4075;2055;2020;510;485;730;1260;1090;90;0;0
5846;725;380;345;125;85;145;235;140;90;0;0
5851;2125;1055;1070;255;240;405;730;500;90;10;0
5853;2040;1030;1010;280;220;395;740;405;80;20;0
5854;5260;2625;2635;685;560;990;1655;1375;80;20;0
5855;2480;1245;1235;340;280;440;805;615;90;10;0
5856;1180;595;585;145;145;250;405;240;90;10;0
5861;1890;975;915;265;205;375;590;455;90;10;0
5862;420;205;215;45;50;60;140;125;90;10;0
5863;1135;595;545;160;140;255;340;245;80;10;0
5864;1885;990;895;295;200;405;555;430;90;10;0
5865;1280;660;620;220;125;330;360;245;80;10;0
5866;1260;640;620;170;165;255;435;235;90;10;0
5871;1045;520;525;120;115;180;390;235;90;10;0
5872;765;375;390;105;95;155;220;190;90;10;0
5911;5010;2565;2445;405;780;1660;1200;965;70;20;10
5912;10085;5005;5080;1520;1340;2575;2810;1835;60;20;20
5913;9820;4840;4985;1305;1040;2245;2840;2395;80;10;0
5914;7730;3795;3940;1000;900;2020;2055;1755;70;20;20
5915;5555;2710;2845;875;610;1255;1750;1065;70;20;10
5916;2515;1255;1260;350;270;500;820;570;80;10;0
5921;6850;3400;3450;945;645;1645;1800;1815;70;20;10
5922;5700;2820;2880;1125;715;1595;1470;790;50;20;30
5923;3055;1435;1625;385;260;610;825;980;70;20;10
5924;3780;1955;1825;610;445;960;1105;660;60;20;20
5925;3895;1965;1930;665;420;1080;1260;460;60;20;20
5926;2865;1475;1390;410;340;485;860;770;90;10;0
5927;820;420;400;125;80;165;225;225;90;10;0
5928;735;395;340;90;105;155;245;135;80;10;10
5931;9690;4850;4840;1305;970;2105;2795;2515;80;10;10
5932;5485;2765;2720;810;605;1310;1700;1060;60;20;20
5935;3715;1840;1875;465;415;735;1255;840;70;20;10
5941;5310;2675;2635;825;515;1175;1590;1205;80;10;0
5943;1035;530;505;135;140;210;305;245;80;10;0
5944;2630;1300;1330;305;270;460;870;725;80;20;0
